taxonomy [%],taxa [%],GSP T0,So-Sp T0,Sp T0,So T0
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter;Vicinamibacter sp.,Vicinamibacter sp.,0.039490872,0.231771486,0.440289037,0.341767598
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;Aquihabitans daechungensis,Aquihabitans daechungensis,0.176190042,0.087697319,0.044028904,0.017987768
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;Iamia sp.,Iamia sp.,0.580819587,0.457278877,0.70964233,0.677539273
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;Ilumatobacter sp.,Ilumatobacter sp.,0.755186974,0.645201704,0.997125172,0.845425111
Bacteria;Actinobacteriota;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica;Actinospica sp.,Actinospica sp.,0.002430207,0,0,0.017987768
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium agri,Mycobacterium agri,0.020656764,0.037584565,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium brisbanense,Mycobacterium brisbanense,0,0.11901779,0.041438968,0.317783907
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium frederiksbergense,Mycobacterium frederiksbergense,0.013973693,0.043848659,0.010359742,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium gordonae,Mycobacterium gordonae,0.008505726,0.037584565,0.111367227,0.035975537
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium holsaticum,Mycobacterium holsaticum,0.007290622,0,0.031079226,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium obuense,Mycobacterium obuense,0,0,0,0.047967382
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium sp.,Mycobacterium sp.,0.111181992,0.156602355,0.17870555,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tusciae,Mycobacterium tusciae,0.475105562,0,1.098132656,0.413718671
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycolicibacterium hassiacum,Mycolicibacterium hassiacum,0.012758589,0,0.010359742,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia alkanivorans,Gordonia alkanivorans,0,0,0.007769807,0
