taxonomy [copies/gr],taxa [copies/gr],DTN00I,DTN00J,DTN00K,DTN00L
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;Ilumatobacter sp.,Ilumatobacter sp.,15050468,34617193,13115848,4252623
Bacteria;Actinobacteriota;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica;Actinospica sp.,Actinospica sp.,48432,0,0,90480
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium agri,Mycobacterium agri,411679,2016534,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium brisbanense,Mycobacterium brisbanense,0,6385697,545076,1598503
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium frederiksbergense,Mycobacterium frederiksbergense,278489,2352624,136269,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium gordonae,Mycobacterium gordonae,169514,2016534,1464886,180963
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium holsaticum,Mycobacterium holsaticum,145296,0,408807,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium obuense,Mycobacterium obuense,0,0,0,241283
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium sp.,Mycobacterium sp.,2215796,8402231,2350631,301603
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tusciae,Mycobacterium tusciae,9468596,0,14444466,2081070
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycolicibacterium hassiacum,Mycolicibacterium hassiacum,254271,0,136269,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia alkanivorans,Gordonia alkanivorans,0,0,102200,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia terrae,Gordonia terrae,423786,0,0,0
